Title,SellerSKU,ASIN,,In Stock Level,List Price,CPU,In Stock Value,Supplier,Date Purchased,Notes,,,,
"Crest Whitening Expressions Toothpaste, Extreme Herbal mint - 6 oz",BL01212017//2.14,B0014CQD8Q,"B0014CQD8Q,",1,15.99,2.14,2.14,Big Lots,1/21/17,,"'B0014CQD8Q',",,,"('B0014CQD8Q', 'Crest Whitening Expressions Toothpaste, Extreme Herbal mint - 6 oz', 1, 15.99),"
Crest Whitening Plus Scope Toothpaste Citrus Splash - 6.2 Oz,BL01212017/2.14,B0016JFCPC,"B0016JFCPC,",1,19.99,2.14,2.14,Big Lots,1/21/17,,"'B0016JFCPC',",,,"('B0016JFCPC', 'Crest Whitening Plus Scope Toothpaste Citrus Splash - 6.2 Oz', 1, 19.99),"
"Crest, 3D White Luxe Sensitivity Whitening Pampering Mint Flavor Toothpaste - 4.1 Oz, Pack of 2",BL04012017/4.12,B00IKFI162,"B00IKFI162,",3,20.99,4.12,12.36,Big Lots,4/1/17,,"'B00IKFI162',",,,"('B00IKFI162', 'Crest, 3D White Luxe Sensitivity Whitening Pampering Mint Flavor Toothpaste - 4.1 Oz, Pack of 2', 3, 20.99),"
"Cricut Imagine Cartridge, Kate's Kitchen",FBAYS08272016.2,B0044WVUXQ,"B0044WVUXQ,",1,15.99,2,2,Yard Sale,8/27/16,,"'B0044WVUXQ',",,,"('B0044WVUXQ', 'Cricut Imagine Cartridge, Kate's Kitchen', 1, 15.99),"
"Curate Snack Bars, Indulgent Dark Chocolate & Hazelnuts, 4 Bars",BL01132017/2.4,B01DSF6R5A,"B01DSF6R5A,",3,12.99,2.4,7.2,Big Lots,1/13/17,,"'B01DSF6R5A',",,,"('B01DSF6R5A', 'Curate Snack Bars, Indulgent Dark Chocolate & Hazelnuts, 4 Bars', 3, 12.99),"
"Curel Ultra Healing Hand Therapy, 3.5 Oz",BL04062017/1.96,B000QUM7RI,"B000QUM7RI,",4,25,1.96,7.84,Big Lots,4/6/17,,"'B000QUM7RI',",,,"('B000QUM7RI', 'Curel Ultra Healing Hand Therapy, 3.5 Oz', 4, 25),"
"Curel Ultra Healing Hand Therapy, 3.5 Oz (Pack of 2)",BL04062017/3.91,B0016G18L2,"B0016G18L2,",1,44.99,3.91,3.91,Big Lots,4/6/17,,"'B0016G18L2',",,,"('B0016G18L2', 'Curel Ultra Healing Hand Therapy, 3.5 Oz (Pack of 2)', 1, 44.99),"
Dansk Classic Fjord Grey Oval Baker Small,TM11232016/3.62,B004IFTXD8,"B004IFTXD8,",1,20,3.62,3.62,Tuesday Morning,11/23/16,,"'B004IFTXD8',",,,"('B004IFTXD8', 'Dansk Classic Fjord Grey Oval Baker Small', 1, 20),"
"DCI Pop Quiz Math Measuring Cups and Spoons Set, Black",TM01052017/2.72,B00JGLE1I6,"B00JGLE1I6,",3,11.99,2.72,8.16,Tuesday Morning,1/5/17,,"'B00JGLE1I6',",,,"('B00JGLE1I6', 'DCI Pop Quiz Math Measuring Cups and Spoons Set, Black', 3, 11.99),"
Developlus Make It Straight Salon Blowout Results 6oz & 1oz,RA01262017/3.4,B00LAXX4VI,"B00LAXX4VI,",3,19.99,3.4,10.2,Rite Aid,1/26/17,,"'B00LAXX4VI',",,,"('B00LAXX4VI', 'Developlus Make It Straight Salon Blowout Results 6oz & 1oz', 3, 19.99),"
"Dial Nutriskin Body Wash, Grapeseed Oil and Lemongrass, 16-Ounce (Pack of 2)",NPS02162017/6.39,B004HKBLKC,"B004HKBLKC,",4,24.99,6.39,25.56,NPS,2/16/17,,"'B004HKBLKC',",,,"('B004HKBLKC', 'Dial Nutriskin Body Wash, Grapeseed Oil and Lemongrass, 16-Ounce (Pack of 2)', 4, 24.99),"
"Dimensions Needlecrafts Handmade Embroidery, Bird On Flower Pillow",FBA06242016/3.19,B004ZKCYZK,"B004ZKCYZK,",1,16.95,3.19,3.19,Seagull Book,6/24/16,,"'B004ZKCYZK',",,,"('B004ZKCYZK', 'Dimensions Needlecrafts Handmade Embroidery, Bird On Flower Pillow', 1, 16.95),"
Disney Junior Minnie Music Mat,WG01192017/7.05,B01M0A2SNM,"B01M0A2SNM,",1,33.99,7.05,7.05,Walgreens,1/19/17,,"'B01M0A2SNM',",,,"('B01M0A2SNM', 'Disney Junior Minnie Music Mat', 1, 33.99),"
"Disney Mickey Mouse Clubhouse ""Sing with Me"" CD Player",WG02102017/13.93,B002RLE2TK,"B002RLE2TK,",2,32.2,13.93,27.86,Walgreen,2/10/17,,"'B002RLE2TK',",,,"('B002RLE2TK', 'Disney Mickey Mouse Clubhouse ""Sing with Me"" CD Player', 2, 32.2),"
"Disney Princess 4 in 1 Card Game Set ""Crazy Eights"", ""Old Maid"", ""Go Fish"" and ""Memory Match"" in Tin Box",TM03222017/4.21,B002DZFEXI,"B002DZFEXI,",1,23.78,4.21,4.21,Tuesday Morning,3/22/17,,"'B002DZFEXI',",,,"('B002DZFEXI', 'Disney Princess 4 in 1 Card Game Set ""Crazy Eights"", ""Old Maid"", ""Go Fish"" and ""Memory Match"" in Tin Box', 1, 23.78),"
Disney Princess Sparkling Princess Ariel Doll,WG03312017/9.02,B00B88X7MG,"B00B88X7MG,",2,29.95,9.02,18.04,Walgreens,3/31/17,,"'B00B88X7MG',",,,"('B00B88X7MG', 'Disney Princess Sparkling Princess Ariel Doll', 2, 29.95),"
Disney Princess Sparkling Princess Sleeping Beauty Doll,WG02092017/11.15,B00B86SVYW,"B00B86SVYW,",2,25.6,11.15,22.3,Walgreens,2/9/18,,"'B00B86SVYW',",,,"('B00B86SVYW', 'Disney Princess Sparkling Princess Sleeping Beauty Doll', 2, 25.6),"
Disney Sparkle Princess Tiana Doll,WG03102017/11.27,B00M5ATIWY,"B00M5ATIWY,",1,29.94,11.27,11.27,Walgreens,3/10/17,,"'B00M5ATIWY',",,,"('B00M5ATIWY', 'Disney Sparkle Princess Tiana Doll', 1, 29.94),"
Disneys Mickey Mouse Clubhouse Inflatable Swimming Pool,FBA04052016__3,B00WOWLIEE,"B00WOWLIEE,",2,21.88,10.67,21.34,Walgreen,4/4/16,,"'B00WOWLIEE',",,,"('B00WOWLIEE', 'Disneys Mickey Mouse Clubhouse Inflatable Swimming Pool', 2, 21.88),"
Dotz Home Entertainment Cord Identifier Kit for Cord and Cable Management (DCI131HEK-C),RA02162017//3.75,B0085U9GRK,"B0085U9GRK,",1,19.99,3.75,3.75,Rite Aid,2/16/17,,"'B0085U9GRK',",,,"('B0085U9GRK', 'Dotz Home Entertainment Cord Identifier Kit for Cord and Cable Management (DCI131HEK-C)', 1, 19.99),"
